code,content
0101-0106,"0101-0106
다른 류에 해당하는 물품에서 제0101호 내지 제0106호에 해당하는 물품으로 변경된 것
제2류
육과 식용설육"
0201 - 0210,"0201 - 0210
다른 류에 해당하는 물품(제0105호의 닭을 제외한다)에서 제0201호 내지 제0210호에 해당하는 물품으
로 변경된 것
제3류
어류·갑각류·연체동물 및 기타 수생 무척추동물
제3류 주
어류, 갑각류, 연체동물 및 기타 수생 무척추동물은 비원산지 치어1 또는 자어로부터 양식된 경우에도 원
산지물품으로 간주된다.
  주1: 치어라 함은 후기자어기에 있는 덜 자란 물고기를 말하며, 핑거링스(fingerlings), 파(parr), 스몰
트(smolts) 및 엘버(elvers)를 포함한다."
0301-0307,"0301-0307
다른 류에 해당하는 물품에서 제0301호 내지 제0307호에 해당하는 물품으로 변경된 것
제4류
낙농품, 조란, 천연꿀 및 다른 류에 분류되지 아니한 식용의 동물성 생산품"
0401-0410,"0401-0410
다른 류에 해당하는 물품(제1901.90호 및 제2106.90호의 것을 제외한다)에서 제0401호 내지 제0410호
에 해당하는 물품으로 변경된 것
제5류
다른 류에 분류되지 아니한 동물성 생산품"
0501-0511,"0501-0511
다른 류에 해당하는 물품에서 제0501호 내지 제0511호에 해당하는 물품으로 변경된 것
제2부
식물성 생산품  (제6류-제14류)
제2부 주
당사국의 영역 내에서 재배한 농산물 및 원예상품은 비 당사국에서 수입한 씨앗, 인경, 근경, 삽수, 접목,
싹, 봉오리 또는 기타 산 식물의 일부에서 재배한 경우에도 원산지 물품으로 취급된다.
제6류
산 수목과 기타의 식물, 인경·뿌리와 이와 유사한 물품 및 절화와 장식용의 잎"
0601-0604,"0601-0604
다른 류에 해당하는 물품에서 제0601호 내지 제0604호에 해당하는 물품으로 변경된 것
제7류
식용의 채소·뿌리 및 괴경"
0701-0714,"0701-0714
다른 류에 해당하는 물품에서 제0701호 내지 제0714호에 해당하는 물품으로 변경된 것
제8류
식용의 과실 및 견과류와 감귤류 또는 멜론의 껍질"
0801-0814,"0801-0814
다른 류에 해당하는 물품에서 제0801호 내지 제0814호에 해당하는 물품으로 변경된 것
제9류
커피·차·마태 및 향신료
0901.11 –"
0901.12,"0901.12
다른 류에 해당하는 물품에서 제0901.11호 내지 제0901.12호에 해당하는 물품으로 변경된 것"
0901.21,"0901.21
다른 소호에 해당하는 물품에서 제0901.21호에 해당하는 물품으로 변경된 것"
0901.22,"0901.22
다른 소호에 해당하는 물품(제0901.21호의 것을 제외한다)에서 제0901.22호에 해당하는 물품으로 변경
된 것"
0901.90,"0901.90
다른 류에 해당하는 물품에서 제0901.90호에 해당하는 물품으로 변경된 것"
0902 – 0903,"0902 – 0903
다른 류에 해당하는 물품에서 제0902호 내지 제0903호에 해당하는 물품으로 변경된 것
0904.11-"
0904.12,"0904.12
제0904.11호 내지 제0904.12호에 해당하는 파쇄, 분쇄 또는 분말화 되지 아니한 향신료 또는 다른 소호
에 해당하는 물품에서 제0904.11호 내지 제0904.12호에 해당하는 파쇄, 분쇄 또는 분말화된 향신료로
변경된 것, 또는
다른 소호에 해당하는 물품에서 제0904.11호 내지 제0904.12호에 해당하는 향신료 혼합물 또는 그 밖의
상품(파쇄, 분쇄 또는 분말화된 향신료를 제외한다)으로 변경된 것"
0904.20,"0904.20
다른 류에 해당하는 물품에서 제0904.20호에 해당하는 물품으로 변경된 것"
0905-0909,"0905-0909
제0905호 내지 제0909호에 해당하는 파쇄, 분쇄 또는 분말화 되지 아니한 향신료 또는 다른 소호에 해당
하는 물품에서 제0905호 내지 제0909호에 해당하는 파쇄, 분쇄 또는 분말화된 향신료로 변경된 것, 또는
다른 소호에 해당하는 물품에서 제0905호 내지 제0909호에 해당하는 향신료 혼합물 또는 그 밖의 상품
(파쇄, 분쇄 또는 분말화된 향신료를 제외한다)으로 변경된 것"
0910.10,"0910.10
다른 류에 해당하는 물품에서 제0910.10호에 해당하는 물품으로 변경된 것
0910.20 –"
0910.99,"0910.99
제0910.20호 내지 제0910.99호에 해당하는 파쇄, 분쇄 또는 분말화되지 아니한 향신료 또는 다른 소호
에 해당하는 물품에서 제0910.20호 내지 제0910.99호에 해당하는 파쇄, 분쇄 또는 분말화된 향신료로
변경된 것, 또는
다른 소호에 해당하는 물품에서 제0910.20호 내지 제0910.99호에 해당하는 향신료 혼합물 또는 그 밖의
상품(파쇄, 분쇄 또는 분말화된 향신료를 제외한다)으로 변경된 것
제10류
곡물"
1001-1008,"1001-1008
다른 류에 해당하는 물품에서 제1001호 내지 제1008호에 해당하는 물품으로 변경된 것
제11류
제분공업의 생산품과 맥아·전분·이눌린 및 밀의 글루텐"
1101,"1101
다른 류에 해당하는 물품에서 제1101호에 해당하는 물품으로 변경된 것"
1102-1104,"1102-1104
다른 류에 해당하는 물품(제1006호의 것을 제외한다)에서 제1102호 내지 제1104호에 해당하는 물품으
로 변경된 것"
1105,"1105
다른 류에 해당하는 물품(제0701호의 것을 제외한다)에서 제1105호에 해당하는 물품으로 변경된 것"
1106 – 1109,"1106 – 1109
다른 류에 해당하는 물품에서 제1106호 내지 제1109호에 해당하는 물품으로 변경된 것
제12류
채유용에 적합한 종자와 과실, 각종의 종자와 과실, 공업용 또는 의약용의 식물, 짚과 사료용 식물"
1201-1214,"1201-1214
다른 류에 해당하는 물품에서 제1201호 내지 제1214호에 해당하는 물품으로 변경된 것
제13류
락·검·수지 및 기타의 식물성 수액과 엑스"
