agreement,chapter,article,title,content
KR_CN_FTA,통관절차 및 무역원활화,제7.1 조,공,"제7.1 조
공
표
1.
각당사국은자국의관세법, 규정및일반행정절차를, 인터넷상을
포함하여, 공표한다.
2.
각당사국은관세사안에관한이해관계인의질의를다루는하나이상의
질의처를지정하거나유지하며, 그러한질의절차에대한정보를인터넷상에서
이용가능하도록한다.
3.
가능한한도에서, 각당사국은자국이채택하고자하는관세사안을
규율하는일반적으로적용되는규정을미리공표하고, 이를채택하기에앞서
이해관계인에게의견을제시할수있는기회를제공한다."
KR_CN_FTA,통관절차 및 무역원활화,제7.2 조,상품의반출,"제7.2 조
상품의반출
1.
양자간무역을원활화하기위하여, 각당사국은상품의효율적인반출을
위한간소화된통관절차를채택하거나유지한다.
2.
제1항에따라, 각당사국은자국세관당국또는그밖의권한있는당국이
다음의절차를채택하거나유지하도록보장한다.
가. 자국관세법의준수를보장하는데요구되는기간을넘지아니하는
기간내에, 그리고가능한한도에서상품의도착후48시간이내에,
상품을반출하게하는절차
나. 도착시에상품을반출하기위하여상품이도착하기전에통관정보가
전자적으로제출되고처리되도록하는절차
다. 창고또는그밖의시설로일시적으로이동시키지아니하고도착
지점에서상품이반출되도록허용하는절차, 그리고
라. 적용가능한관세․조세및수수료에대하여자국세관당국이최종
결정을내리기전에, 그리고그러한결정을저해함이없이, 수입자가
상품을세관으로부터반출할수있도록허용하는절차1)"
KR_CN_FTA,통관절차 및 무역원활화,제7.3 조,자동화,"제7.3 조
자동화
각당사국은상품의반출을위한절차를신속하게하는정보기술을활용하고,
가. 전자시스템이세관사용자에게접근가능하도록한다.
나. 국제표준을사용하도록노력한다.
다. 국제무역데이터의양자간교환을원활히하기위하여다른쪽당사국의
시스템과호환가능한전자시스템을개발하도록노력한다. 그리고
라. 세계관세기구의관세데이터모델과세계관세기구의관련권고사항및
지침에따라일련의공통적인데이터요소와처리절차를개발하도록
노력한다."
KR_CN_FTA,통관절차 및 무역원활화,제7.4 조,위험관리,"제7.4 조
위험관리
각당사국은자국세관당국이검사활동을고위험상품에집중할수있도록
하고저위험상품의통관및이동을간소화하는평가및선별을위한전자또는
자동화된위험관리시스템을채택하거나유지한다."
KR_CN_FTA,통관절차 및 무역원활화,제7.5 조,협,"제7.5 조
협
력
1.
이협정의효과적인운영을원활히하기위하여, 각당사국은이협정의
1) 당사국은수입자가상품의수입과관련하여자국세관당국이최종적으로적용하는관세․조세및수수료의
지급액을충당하기에충분한담보․예치또는그밖의적절한증서의형태로보증을제공하도록요구할
수있다.
운영에실질적으로영향을미칠가능성이있는행정정책의중요한수정이나
수입을규율하는자국의법또는규정에관련된그밖의유사한진행사항에대한
사전통보를다른쪽당사국에게제공하도록노력한다.
2.
양당사국은다음에관한각당사국의법및규정의준수를달성하는데
협력한다.
가. 특혜관세대우의신청, 특혜관세대우신청절차및검증절차를포함하여,
수입또는수출을규율하는이협정의규정의이행및운영
나. 관세평가협정의이행및운영
다. 수입또는수출에대한제한또는금지, 그리고
라. 양당사국이합의할수있는그밖의관세사안
3.
당사국이수입을규율하는자국의법또는규정에관련된불법행위에
대하여합리적인의심을가지는경우, 그당사국은다른쪽당사국이상품의
수입과관련하여통상적으로수집된특정한비밀정보를제공할것을요청할수
있다.
4.
제3항에따른당사국의요청은서면으로이루어지며, 그정보를요청하는
목적을명시하고, 다른쪽당사국이그정보를찾아서이를제공할수있도록
충분히특정하여요청하는정보를적시한다.
5.
정보의요청을받은당사국은자국법과자국이당사국인관련국제
협정에따라그정보를담은서면답신을제공한다.
6.
제3항의목적상, 불법행위에대한합리적인의심이라함은공적또는
사적인출처로부터획득한관련사실정보를기초로한의심을말하며, 그사실
정보는다음중하나이상을포함한다.
가. 수입자또는수출자가수입을규율하는법또는규정을준수하지
아니하였다는전력
나. 제조자, 생산자또는어느한쪽당사국의영역으로부터다른쪽
당사국의영역으로의상품이동에관여한그밖의인이수입을규율
하는법또는규정을준수하지아니하였다는전력
다. 특정제품분야에서어느한쪽당사국의영역으로부터다른쪽
당사국의영역으로의상품의이동에관여한일부또는모든인이수입을
규율하는당사국의법또는규정을준수하지아니하였다는전력, 또는
라. 정보의요청당사국과요청을받은당사국이특정한요청의맥락에서
충분하다고합의하는그밖의정보
7.
각당사국은다른쪽당사국영역으로부터의수입품또는다른쪽당사국
영역으로의수출품이수입을규율하는다른쪽당사국의법또는규정, 특히
밀수및유사한위반을포함한불법행위에관련된법또는규정을준수하는지
여부를다른쪽당사국이판정하는데도움을줄그밖의정보를다른쪽
당사국에게제공하도록노력한다.
8.
양자간무역을원활화하기위하여, 각당사국은위험관리기법을개선하고,
국제공급망표준의이행을원활하게하며, 상품의시의적절하고효율적인통관을
위한절차를간소화하고제고하며, 직원의기술숙련을향상시키고, 수입을
규율하는당사국의법또는규정의준수를개선할수있는기술의사용을제고할
수있도록기술적자문및지원을다른쪽당사국에게제공하도록노력한다.
9.
양당사국은공동훈련프로그램을수행하고관세분석기술에관한
정보를교환하도록노력한다.
10. 양당사국은수입을규율하는각당사국의규정집행능력을제고하도록
노력한다. 양당사국은더나아가, 신속하고안전하게정보를교환하는데도움이
될접촉선의설치를포함한의사소통채널을마련하고유지하며수입문제에대한
양자간조정을개선하도록노력한다."
KR_CN_FTA,통관절차 및 무역원활화,제7.6 조,비밀유지,"제7.6 조
비밀유지
1.
이장에따라다른쪽당사국에게정보를제공하는당사국이그정보를
비밀로지정하는경우, 그다른쪽당사국은그정보를비밀로유지한다. 정보를
제공하는당사국은그정보가비밀로유지될것이며다른쪽당사국이정보
요청에명시한목적으로만이용될것이고그정보를제공한당사국또는그
당사국에게정보를제공한인의명시적허락없이는공개되지아니할것임을
다른쪽당사국에게서면으로보장하라고요구할수있다.
2.
당사국이제1항에따라비밀로지정된정보를접수한경우에도, 그정보를
접수한당사국은법집행의목적상또는사법절차과정에서그정보를이용
하거나공개할수있다.
3.
당사국은다른쪽당사국이제1항에합치되게행동하지못하였을경우
그당사국이요청한정보를제공하는것을거부할수있다.
4.
각당사국은공개되면그정보를제공한인의경쟁적지위를저해할수
있는정보를포함하여그당사국의관세법행정에따라제출된비밀정보를
무단공개로부터보호하는절차를채택하거나유지한다."
KR_CN_FTA,통관절차 및 무역원활화,제7.7 조,특송화물,"제7.7 조
특송화물
각당사국은적절한통관통제및선별을유지하면서특송화물을위한
신속한통관절차를채택하거나유지한다. 이러한절차는
가. 특송화물을위하여별도의신속한통관절차를규정한다.
나. 특송화물이도착하기전에그화물의반출에필요한정보가전자적
으로제출되고처리되도록규정한다.
다. 가능하다면전자적수단을통하여, 특송화물에포함된모든상품을
적용대상으로하는단일적하목록의제출을허용한다.
라. 가능한한도에서, 특정상품이최소한의서류로통관되도록규정한다.
마. 통상적인상황하에서, 화물이도착한경우, 필요한통관서류가제출
된후4시간이내에특송화물이통관되도록규정한다.
바. 특송화물의중량또는관세가격에관계없이적용된다. 그리고
사. 통상적인상황하에서, 미화200달러이하특송화물의경우관세또는
세금이부과되지아니할것이고공식적인반입서류도요구되지아니할
것임을규정한다.2)
2) 사호에도불구하고, 당사국은특송화물이항공화물운송장이나그밖의선하증권을수반하도록요구할"
KR_CN_FTA,통관절차 및 무역원활화,제7.8 조,재심및불복청구,"제7.8 조
재심및불복청구
각당사국은관세사안에대한자국의결정에대하여자국영역에있는
수입자가다음에접근할수있도록보장한다.
가. 그결정을내린직원또는부서로부터독립된행정적재심3), 그리고
나. 그결정에대한사법적재심
보다명확히하기위하여, 각당사국은수출자또는생산자가재심을실시
하는당사국에게정보를직접제공할수있도록그리고그당사국이그정보를
제7.6조제4항에따라비밀로취급할것을요청할수있도록허용한다."
KR_CN_FTA,통관절차 및 무역원활화,제7.9 조,벌,"제7.9 조
벌
칙
각당사국은이협정에따른품목분류․관세평가․원산지국가및특혜대우
신청을규율하는것을포함한자국의관세법및규정의위반에대하여민사상
또는행정상의벌칙, 그리고적절한경우형사상의제재를부과할수있도록
하는조치를채택하거나유지한다."
KR_CN_FTA,통관절차 및 무역원활화,제7.10 조,사전심사결정,"제7.10 조
사전심사결정
1.
각당사국은, 자국영역에있는수입자나다른쪽당사국영역에있는
수출자또는생산자의서면요청이있는경우4), 자국영역으로상품이수입되기
전에자국의세관당국을통하여다음에대한사전심사결정서를발급한다.
가. 품목분류
수있다. 보다명확히하기위하여, 당사국은수입제한상품에대하여관세또는세금을부과할수있고
공식적인반입서류를요구할수있다.
3) 대한민국의경우, 가호에따른행정적재심은대한민국국세심판원의심판을포함할수있다.
4) 보다명확히하기위하여, 수입자․수출자또는생산자는정당하게권한을받은대표자를통하여사전
심사신청을제출할수있다.
나. 관세평가협정에따라특정한사안에대한관세평가기준의적용
다. 관세환급, 납기연장또는그밖의관세감면의적용
라. 상품이원산지상품인지여부
마. 수리또는개조를위하여다른쪽당사국의영역으로수출된후어느
한쪽당사국의영역으로재반입된상품이제2.6조(수리또는개조후
재반입되는상품)에따라무관세대우를받을자격이있는지여부
바. 원산지국가표시
사. 상품이쿼터나관세율할당의적용을받는지여부, 그리고
아. 양당사국이합의하는그밖의사안
2.
각당사국은자국세관당국이요청을접수한후90일이내에사전심사
결정을발급한다. 다만, 신청인은당사국이요구하는경우사전심사결정을신청
하는상품의견본을포함하여당사국이요구하는모든정보를제출하여야한다.
사전심사결정을발급할때, 그당사국은신청인이제공한사실및상황을고려
한다. 보다명확히하기위하여, 당사국은사전심사결정의근거가되는사실과
상황이행정적또는사법적재심의대상이되는경우사전심사결정의발급을
거부할수있다. 이항에따라사전심사결정의발급을거부하는당사국은사전
심사결정의발급거부결정에관한관련사실및근거를적시하여신청인에게
서면으로신속하게통보한다.
3.
각당사국은사전심사결정의근거가되는사실또는상황에변동이없는
경우에한하여사전심사결정이발급된날또는사전심사결정에명시된다른날
로부터사전심사결정이효력이발생하도록규정한다.
4.
발급당사국은신청인에게통보한후사전심사결정을변경하거나철회할
수있다. 발급당사국은사전심사결정이부정확한정보또는허위의정보에기초
하였던경우에한해서만사전심사결정을소급하여변경하거나철회할수있다.
5.
각당사국은신청인에게사전심사결정의행정적재심에대한접근을보장
한다.
6.
자국법의비밀유지요건을조건으로, 각당사국은자국의사전심사결정을,
인터넷상을포함하여, 공표한다.
7.
신청인이허위의정보를제공하거나사전심사결정에관한관련사실또는
상황을누락하는경우또는사전심사결정의조건에따라행동하지아니하는경우,
수입당사국은민사․형사및행정적조치, 금전상의벌칙, 또는그밖의제재를
포함한적절한조치를적용할수있다.
"
